Пол;Возраст;Путешествует с детьми;Расстояние;Включён завтрак;Наличие wifi;Оценка удобства добирания до места;Оценка интерсности досуга;Оценка качества питания;Оценка качества wifi;Оценка комфортности палатки;Общая оценка качества предоставленной услуги
муж;41,6;нет;705;0;1;2;нормально;отсутствует;плохо;плохо;плохо
муж;25,7;нет;818;0;1;3;хорошо;отсутствует;нормально;хорошо;нормально
муж;41,4;нет;182;1;1;2;плохо;хорошо;хорошо;плохо;хорошо
жен;41,4;нет;883;1;1;3;нормально;хорошо;плохо;хорошо;нормально
жен;48,3;да;628;1;1;4;нормально;плохо;нормально;плохо;хорошо
муж;24,5;нет;849;1;0;3;нормально;плохо;отсутствует;нормально;нормально
жен;60,3;нет;494;0;1;4;нормально;отсутствует;нормально;нормально;хорошо
жен;26,2;да;956;0;1;2;нормально;отсутствует;плохо;нормально;нормально
жен;18,3;нет;166;1;1;5;нормально;нормально;нормально;плохо;нормально
жен;33,3;нет;147;1;0;2;плохо;хорошо;отсутствует;плохо;нормально
жен;36,7;нет;456;1;1;3;нормально;плохо;плохо;нормально;плохо
муж;38,4;нет;2593;1;0;2;плохо;нормально;отсутствует;плохо;нормально
муж;70,3;нет;2109;1;0;4;плохо;нормально;отсутствует;хорошо;нормально
муж;46,6;нет;1583;1;1;2;нормально;хорошо;плохо;нормально;нормально
жен;21,6;нет;157;1;0;2;плохо;плохо;отсутствует;плохо;плохо
муж;59,9;нет;862;1;1;4;нормально;нормально;плохо;хорошо;нормально
муж;28,6;нет;520;0;1;4;хорошо;отсутствует;хорошо;хорошо;хорошо
муж;43,4;нет;1194;1;0;5;нормально;плохо;отсутствует;нормально;нормально
жен;29,5;да;241;1;1;2;нормально;плохо;нормально;плохо;плохо
жен;29,2;нет;544;1;1;3;нормально;нормально;нормально;нормально;нормально
муж;23,7;нет;745;1;0;3;плохо;хорошо;отсутствует;плохо;нормально
жен;43,7;да;2219;0;0;3;плохо;отсутствует;отсутствует;нормально;нормально
муж;37,5;нет;407;1;1;4;плохо;нормально;нормально;нормально;хорошо
жен;20,8;нет;2512;0;1;4;нормально;отсутствует;хорошо;хорошо;хорошо
муж;38,7;нет;2190;0;1;3;нормально;отсутствует;плохо;нормально;хорошо
муж;45,9;нет;879;1;1;4;нормально;хорошо;плохо;хорошо;нормально
жен;70,7;нет;1079;1;1;1;нормально;нормально;нормально;нормально;нормально
жен;60,6;нет;607;1;1;3;плохо;хорошо;нормально;плохо;нормально
жен;46,5;нет;587;1;0;2;нормально;плохо;отсутствует;нормально;нормально
муж;67,6;нет;227;1;0;4;плохо;плохо;отсутствует;хорошо;нормально
жен;46,5;да;3528;1;1;2;плохо;нормально;плохо;плохо;плохо
муж;57,9;нет;443;1;1;3;нормально;нормально;нормально;нормально;хорошо
муж;38,4;да;2623;0;0;4;плохо;отсутствует;отсутствует;хорошо;нормально
муж;58,7;нет;356;1;1;2;нормально;плохо;плохо;нормально;нормально
жен;25,5;нет;1929;1;0;2;плохо;плохо;отсутствует;плохо;плохо
жен;50,9;нет;2541;1;0;4;отсутствует;хорошо;отсутствует;нормально;хорошо
жен;33,5;да;988;0;1;2;нормально;отсутствует;нормально;хорошо;нормально
жен;24,4;нет;785;1;1;4;нормально;плохо;нормально;нормально;хорошо
жен;40,2;нет;700;1;1;4;нормально;плохо;нормально;нормально;хорошо
жен;30,8;нет;1808;0;1;3;нормально;отсутствует;плохо;плохо;плохо
жен;45,3;нет;777;1;1;4;плохо;нормально;хорошо;плохо;хорошо
жен;34,5;да;410;0;0;5;плохо;отсутствует;отсутствует;плохо;нормально
муж;19,4;нет;374;1;1;4;нормально;хорошо;плохо;хорошо;нормально
жен;37,6;да;1543;1;0;2;плохо;нормально;отсутствует;хорошо;нормально
жен;46,2;да;251;0;1;3;нормально;отсутствует;плохо;плохо;нормально
жен;40,2;нет;636;1;1;3;хорошо;нормально;плохо;нормально;нормально
жен;46,7;нет;200;1;1;5;нормально;плохо;хорошо;нормально;хорошо
жен;56,8;нет;584;1;0;5;нормально;плохо;отсутствует;плохо;нормально
жен;64,3;да;539;1;1;3;нормально;плохо;нормально;плохо;плохо
муж;33,6;нет;272;1;1;3;хорошо;хорошо;хорошо;хорошо;хорошо
жен;52,6;нет;146;1;0;4;отсутствует;плохо;отсутствует;плохо;нормально
муж;37,2;нет;665;1;0;3;плохо;плохо;отсутствует;хорошо;плохо
жен;41,4;нет;509;0;1;4;нормально;отсутствует;нормально;нормально;хорошо
жен;27,8;нет;1984;1;1;4;нормально;плохо;нормально;хорошо;нормально
муж;41,6;нет;2714;0;1;3;плохо;отсутствует;нормально;плохо;хорошо
муж;72,5;нет;274;0;1;3;нормально;отсутствует;нормально;плохо;нормально
муж;46,3;да;2572;1;1;3;нормально;нормально;плохо;плохо;нормально
муж;30,4;нет;2922;0;1;4;хорошо;отсутствует;хорошо;хорошо;хорошо
муж;55,3;да;987;1;1;3;нормально;плохо;нормально;плохо;плохо
муж;44,2;нет;708;0;0;3;нормально;отсутствует;отсутствует;плохо;нормально
жен;35,6;да;2693;1;1;3;нормально;хорошо;плохо;нормально;хорошо
муж;27,8;нет;802;1;1;4;нормально;нормально;плохо;нормально;нормально
муж;21,2;нет;1984;0;0;3;плохо;отсутствует;отсутствует;хорошо;нормально
муж;49,4;нет;341;1;1;4;нормально;нормально;нормально;нормально;хорошо
жен;23,7;нет;1624;0;0;4;плохо;отсутствует;отсутствует;хорошо;нормально
муж;60,8;да;237;0;1;3;плохо;отсутствует;плохо;плохо;плохо
жен;57,8;нет;190;1;1;2;нормально;нормально;нормально;хорошо;нормально
жен;25,3;нет;1335;1;0;4;плохо;нормально;отсутствует;нормально;нормально
муж;28,9;нет;890;0;0;2;плохо;отсутствует;отсутствует;плохо;нормально
жен;38,6;нет;251;1;1;3;нормально;хорошо;плохо;плохо;нормально
жен;38,5;нет;991;1;1;3;плохо;нормально;плохо;плохо;нормально
муж;58,4;нет;104;1;1;4;отсутствует;плохо;плохо;нормально;нормально
жен;36,7;нет;664;1;0;3;плохо;нормально;отсутствует;хорошо;нормально
жен;60,6;нет;538;1;0;4;плохо;нормально;отсутствует;нормально;нормально
муж;28,2;нет;485;1;0;3;плохо;плохо;отсутствует;хорошо;плохо
муж;33,9;нет;459;1;0;3;плохо;хорошо;отсутствует;плохо;нормально
муж;58,9;да;896;1;0;2;хорошо;плохо;отсутствует;хорошо;нормально
жен;38,4;нет;1042;1;1;5;нормально;плохо;плохо;нормально;нормально
жен;51,7;нет;461;1;1;4;нормально;нормально;нормально;нормально;нормально
жен;23,9;нет;599;1;0;4;нормально;плохо;отсутствует;нормально;нормально
муж;30,2;нет;337;1;1;3;нормально;хорошо;нормально;хорошо;нормально
муж;41,4;да;737;1;0;4;отсутствует;нормально;отсутствует;нормально;хорошо
муж;52,6;нет;1336;1;0;4;плохо;плохо;отсутствует;нормально;нормально
муж;23,6;нет;479;1;0;3;плохо;нормально;отсутствует;плохо;нормально
муж;42,2;нет;180;1;0;4;нормально;плохо;отсутствует;нормально;плохо
муж;58,3;нет;1708;1;1;2;нормально;хорошо;плохо;нормально;нормально
жен;31,9;да;2009;0;1;3;нормально;отсутствует;плохо;плохо;нормально
муж;32,9;нет;682;0;0;3;плохо;отсутствует;отсутствует;хорошо;нормально
муж;56,3;нет;991;0;1;3;нормально;отсутствует;плохо;плохо;нормально
жен;29,5;нет;292;0;0;3;плохо;отсутствует;отсутствует;плохо;нормально
жен;59,2;нет;229;1;1;3;нормально;нормально;нормально;плохо;хорошо
муж;24,5;нет;3821;1;0;4;нормально;нормально;отсутствует;нормально;нормально
жен;34,2;нет;1057;1;0;4;отсутствует;нормально;отсутствует;нормально;хорошо
муж;66,3;да;533;1;0;4;плохо;плохо;отсутствует;хорошо;нормально
жен;46,3;да;1050;0;0;4;плохо;отсутствует;отсутствует;нормально;нормально
муж;30,4;нет;600;1;0;2;плохо;нормально;отсутствует;плохо;нормально
муж;51,2;нет;1595;1;1;4;нормально;нормально;плохо;хорошо;нормально
жен;29,5;нет;758;1;0;2;плохо;плохо;отсутствует;плохо;плохо
муж;52,6;нет;526;1;1;2;нормально;нормально;плохо;плохо;нормально
жен;35,4;да;1416;0;1;3;нормально;отсутствует;плохо;нормально;хорошо
жен;47,6;нет;508;1;1;2;нормально;нормально;нормально;нормально;нормально
муж;56,6;нет;1774;1;1;4;нормально;плохо;нормально;хорошо;нормально
жен;20,8;нет;842;1;0;2;нормально;плохо;отсутствует;хорошо;нормально
жен;72,8;нет;104;0;0;3;нормально;отсутствует;отсутствует;хорошо;нормально
муж;49,2;нет;1113;1;0;4;плохо;нормально;отсутствует;нормально;нормально
муж;25,2;нет;1283;1;0;5;плохо;плохо;отсутствует;нормально;нормально
жен;37,5;да;301;0;0;3;плохо;отсутствует;отсутствует;плохо;нормально
жен;46,6;нет;443;1;0;4;плохо;плохо;отсутствует;нормально;нормально
муж;34,2;да;683;1;1;2;нормально;плохо;плохо;нормально;плохо
муж;70,8;нет;1046;1;1;3;нормально;нормально;плохо;нормально;нормально
жен;55,2;нет;756;0;1;4;плохо;отсутствует;хорошо;нормально;хорошо
муж;35,2;да;631;1;0;4;плохо;плохо;отсутствует;хорошо;плохо
жен;61,4;нет;668;1;1;4;нормально;хорошо;плохо;нормально;нормально
жен;70,7;нет;1209;1;1;2;хорошо;плохо;нормально;хорошо;нормально
жен;38,2;нет;138;0;1;3;нормально;отсутствует;нормально;нормально;хорошо
муж;31,9;нет;991;1;1;2;нормально;нормально;плохо;нормально;нормально
муж;50,5;нет;444;1;0;3;плохо;плохо;отсутствует;плохо;плохо
жен;35,6;нет;1272;0;1;4;хорошо;отсутствует;нормально;нормально;хорошо
жен;21,6;нет;1409;1;1;3;нормально;хорошо;плохо;нормально;нормально
муж;51,9;нет;1061;1;0;3;плохо;плохо;отсутствует;хорошо;нормально
муж;39,5;нет;973;1;1;3;нормально;хорошо;плохо;плохо;нормально
муж;47,2;нет;356;1;1;3;нормально;нормально;нормально;плохо;хорошо
жен;44,4;нет;886;1;0;2;плохо;хорошо;отсутствует;нормально;нормально
муж;50,4;нет;799;0;0;4;нормально;отсутствует;отсутствует;нормально;нормально
муж;59,5;да;352;1;1;3;нормально;нормально;плохо;плохо;нормально
жен;66,8;да;628;0;1;4;нормально;отсутствует;нормально;нормально;хорошо
жен;42,5;да;768;1;1;4;нормально;нормально;плохо;нормально;нормально
муж;57,4;нет;649;1;0;3;плохо;плохо;отсутствует;хорошо;плохо
жен;28,2;нет;517;1;1;2;нормально;плохо;плохо;плохо;плохо
жен;23,6;нет;544;1;0;4;плохо;плохо;отсутствует;хорошо;нормально
жен;59,8;нет;305;1;1;4;нормально;хорошо;плохо;нормально;нормально
муж;22,5;нет;800;1;1;3;нормально;плохо;плохо;нормально;нормально
муж;56,6;нет;505;0;0;4;отсутствует;отсутствует;отсутствует;хорошо;хорошо
жен;36,9;нет;273;1;1;2;нормально;плохо;плохо;нормально;плохо
жен;22,6;нет;378;0;0;4;плохо;отсутствует;отсутствует;хорошо;нормально
жен;68,9;нет;285;0;0;3;плохо;отсутствует;отсутствует;хорошо;нормально
жен;64,5;нет;1027;1;0;1;плохо;нормально;отсутствует;нормально;нормально
муж;26,4;нет;603;0;1;2;нормально;отсутствует;плохо;нормально;нормально
жен;20,4;нет;1911;0;1;3;нормально;отсутствует;нормально;нормально;нормально
жен;36,4;нет;1350;1;1;4;плохо;хорошо;плохо;плохо;нормально
жен;54,4;нет;197;0;1;2;отсутствует;отсутствует;нормально;плохо;хорошо
жен;59,9;нет;2333;0;0;2;плохо;отсутствует;отсутствует;нормально;нормально
муж;61,6;нет;1254;1;0;4;плохо;плохо;отсутствует;плохо;плохо
жен;52,5;нет;400;1;0;2;плохо;хорошо;отсутствует;плохо;нормально
жен;55,3;да;770;1;0;3;плохо;нормально;отсутствует;плохо;нормально
жен;41,8;нет;946;1;0;4;плохо;нормально;отсутствует;нормально;нормально
муж;46,4;нет;899;1;1;2;нормально;нормально;плохо;хорошо;нормально
жен;20,4;нет;1057;1;0;3;нормально;нормально;отсутствует;хорошо;нормально
муж;53,9;да;410;1;0;3;плохо;нормально;отсутствует;нормально;нормально
жен;38,5;нет;434;1;0;3;нормально;плохо;отсутствует;нормально;плохо
муж;27,4;нет;2651;1;0;4;плохо;нормально;отсутствует;хорошо;нормально
жен;37,4;да;200;1;1;2;нормально;плохо;плохо;нормально;плохо
муж;23,4;нет;334;0;0;4;плохо;отсутствует;отсутствует;нормально;нормально
жен;20,3;нет;276;1;0;5;плохо;нормально;отсутствует;нормально;нормально
муж;21,9;нет;1347;1;1;3;нормально;нормально;плохо;хорошо;нормально
жен;46,5;нет;309;1;1;4;плохо;плохо;нормально;плохо;хорошо
жен;56,2;да;2666;0;1;3;нормально;отсутствует;плохо;нормально;хорошо
муж;29,7;нет;511;1;0;3;нормально;плохо;отсутствует;плохо;плохо
муж;42,6;да;288;1;0;4;отсутствует;нормально;отсутствует;нормально;нормально
муж;52,5;да;453;0;1;4;нормально;отсутствует;плохо;нормально;плохо
муж;35,9;нет;379;1;1;3;нормально;нормально;плохо;нормально;нормально
муж;23,3;нет;600;0;1;3;нормально;отсутствует;нормально;хорошо;нормально
муж;18,2;нет;317;0;1;3;нормально;отсутствует;плохо;нормально;нормально
муж;37,8;нет;400;0;1;3;хорошо;отсутствует;хорошо;хорошо;хорошо
муж;45,6;нет;2652;1;1;4;нормально;плохо;плохо;хорошо;нормально
муж;18,4;нет;1113;1;1;4;нормально;нормально;плохо;нормально;нормально
муж;58,5;нет;526;0;0;3;отсутствует;отсутствует;отсутствует;нормально;хорошо
жен;25,2;нет;587;1;0;3;плохо;нормально;отсутствует;нормально;нормально
муж;61,3;да;641;0;0;4;плохо;отсутствует;отсутствует;хорошо;нормально
муж;58,6;нет;139;1;1;3;нормально;плохо;плохо;нормально;нормально
жен;24,5;нет;973;0;1;2;хорошо;отсутствует;хорошо;хорошо;хорошо
жен;22,7;нет;309;1;0;3;плохо;нормально;отсутствует;плохо;нормально
муж;43,5;нет;1053;0;0;3;плохо;отсутствует;отсутствует;плохо;плохо
жен;20,7;нет;200;1;1;3;хорошо;плохо;хорошо;плохо;хорошо
жен;51,9;нет;716;0;0;1;плохо;отсутствует;отсутствует;плохо;нормально
муж;18,8;нет;539;1;0;2;плохо;плохо;отсутствует;плохо;плохо
жен;45,6;нет;1001;1;0;2;плохо;нормально;отсутствует;плохо;нормально
жен;37,4;нет;599;1;0;3;нормально;плохо;отсутствует;нормально;плохо
муж;59,5;нет;1133;0;1;3;нормально;отсутствует;плохо;нормально;нормально
муж;33,2;нет;428;1;1;2;плохо;нормально;нормально;плохо;хорошо
муж;48,2;нет;2512;0;1;2;нормально;отсутствует;плохо;нормально;нормально
муж;28,2;нет;2190;0;0;3;плохо;отсутствует;отсутствует;плохо;нормально
муж;63,6;нет;573;0;1;4;нормально;отсутствует;нормально;нормально;нормально
жен;22,6;нет;398;1;1;3;нормально;нормально;нормально;плохо;нормально
жен;61,2;да;1081;0;1;4;хорошо;отсутствует;хорошо;хорошо;хорошо
муж;56,4;да;1042;0;1;3;нормально;отсутствует;нормально;нормально;нормально
жен;60,4;нет;2838;1;0;5;плохо;нормально;отсутствует;плохо;хорошо
жен;34,3;нет;387;0;0;3;плохо;отсутствует;отсутствует;плохо;нормально
муж;52,4;да;546;1;1;4;нормально;хорошо;плохо;нормально;нормально
жен;26,4;нет;146;1;0;3;плохо;хорошо;отсутствует;плохо;нормально
жен;34,5;нет;352;1;0;2;плохо;хорошо;отсутствует;плохо;нормально
жен;52,3;да;1223;1;1;3;хорошо;нормально;хорошо;хорошо;хорошо
жен;57,2;нет;839;1;1;3;нормально;плохо;плохо;нормально;нормально
муж;43,9;да;987;0;0;2;плохо;отсутствует;отсутствует;плохо;плохо
жен;68,9;нет;1825;1;1;4;нормально;нормально;плохо;нормально;нормально
муж;61,9;да;365;0;1;3;нормально;отсутствует;плохо;плохо;нормально
жен;40,9;нет;1157;1;0;4;плохо;плохо;отсутствует;хорошо;плохо
муж;25,3;нет;680;1;0;4;отсутствует;плохо;отсутствует;нормально;хорошо
муж;46,2;нет;2314;1;1;3;плохо;нормально;нормально;плохо;хорошо
жен;48,2;нет;224;0;1;5;нормально;отсутствует;нормально;плохо;хорошо
муж;26,9;нет;1003;1;1;2;хорошо;плохо;хорошо;плохо;хорошо
жен;60,8;нет;1711;1;1;4;нормально;нормально;плохо;нормально;нормально
жен;47,3;нет;162;0;1;4;нормально;отсутствует;нормально;нормально;хорошо
муж;56,7;нет;711;1;0;4;плохо;хорошо;отсутствует;хорошо;нормально
жен;50,3;нет;1051;1;1;2;нормально;плохо;плохо;нормально;нормально
муж;39,9;да;1158;1;0;3;нормально;нормально;отсутствует;нормально;нормально
жен;29,4;нет;1569;1;0;5;плохо;нормально;отсутствует;хорошо;нормально
жен;65,6;нет;642;0;0;4;нормально;отсутствует;отсутствует;нормально;нормально
жен;54,7;нет;343;1;1;2;нормально;нормально;плохо;нормально;нормально
муж;44,7;да;284;1;0;4;плохо;нормально;отсутствует;плохо;нормально
жен;18,2;нет;226;1;1;5;нормально;хорошо;нормально;хорошо;хорошо
муж;70,6;нет;1014;1;0;4;плохо;нормально;отсутствует;хорошо;нормально
муж;39,9;нет;1085;1;1;4;нормально;нормально;плохо;нормально;нормально
жен;50,5;нет;1105;1;1;3;хорошо;нормально;плохо;хорошо;нормально
муж;44,7;нет;382;1;0;1;нормально;плохо;отсутствует;плохо;плохо
жен;43,2;да;631;0;0;2;плохо;отсутствует;отсутствует;нормально;нормально
муж;59,8;нет;2782;1;0;5;отсутствует;хорошо;отсутствует;плохо;хорошо
жен;31,7;нет;2459;0;0;4;плохо;отсутствует;отсутствует;хорошо;нормально
муж;52,8;да;483;1;0;4;плохо;нормально;отсутствует;нормально;нормально
жен;39,6;нет;469;0;1;4;нормально;отсутствует;плохо;нормально;нормально
жен;36,3;нет;526;0;0;4;плохо;отсутствует;отсутствует;нормально;нормально
жен;26,5;нет;799;1;0;2;плохо;хорошо;отсутствует;хорошо;нормально
муж;38,3;нет;614;1;1;5;нормально;нормально;плохо;хорошо;нормально
муж;61,7;нет;2648;1;0;4;плохо;плохо;отсутствует;нормально;нормально
муж;61,6;да;2214;1;1;4;нормально;нормально;плохо;нормально;хорошо
жен;26,2;нет;594;1;0;2;нормально;плохо;отсутствует;плохо;нормально
жен;53,2;нет;649;1;1;2;хорошо;нормально;нормально;нормально;нормально
муж;58,9;да;1001;1;0;5;плохо;плохо;отсутствует;нормально;нормально
жен;35,9;нет;627;1;0;3;плохо;нормально;отсутствует;плохо;нормально
жен;31,7;да;789;0;1;2;хорошо;отсутствует;хорошо;хорошо;хорошо
муж;35,6;нет;1050;1;1;3;плохо;нормально;плохо;плохо;плохо
муж;26,4;нет;631;1;0;1;плохо;плохо;отсутствует;плохо;плохо
жен;26,9;нет;1261;1;0;3;плохо;нормально;отсутствует;плохо;нормально
муж;55,7;да;2503;0;1;4;хорошо;отсутствует;хорошо;нормально;хорошо
жен;23,6;нет;734;0;1;4;нормально;отсутствует;нормально;плохо;хорошо
жен;44,5;нет;532;0;0;2;плохо;отсутствует;отсутствует;нормально;нормально
муж;38,2;нет;1028;1;1;3;нормально;хорошо;хорошо;нормально;хорошо
жен;65,2;нет;659;1;1;5;нормально;нормально;нормально;нормально;нормально
муж;62,6;нет;303;1;1;4;хорошо;нормально;нормально;хорошо;хорошо
жен;60,7;нет;488;0;0;3;плохо;отсутствует;отсутствует;нормально;нормально
муж;28,3;нет;264;1;0;3;плохо;нормально;отсутствует;плохо;нормально
жен;68,5;нет;2348;0;1;2;нормально;отсутствует;плохо;хорошо;нормально
жен;45,5;нет;260;0;0;2;плохо;отсутствует;отсутствует;плохо;нормально
муж;29,9;нет;1273;1;1;4;нормально;нормально;нормально;хорошо;нормально
жен;35,2;да;716;1;0;3;плохо;хорошо;отсутствует;плохо;хорошо
муж;31,3;нет;1073;1;0;3;плохо;нормально;отсутствует;плохо;нормально
жен;39,2;да;1042;0;0;4;плохо;отсутствует;отсутствует;хорошо;плохо
жен;42,3;да;626;0;0;2;нормально;отсутствует;отсутствует;нормально;плохо
жен;66,9;нет;357;1;0;3;плохо;нормально;отсутствует;хорошо;нормально
муж;56,7;нет;432;0;1;4;плохо;отсутствует;плохо;хорошо;нормально
жен;45,3;нет;333;1;0;5;плохо;нормально;отсутствует;нормально;нормально
муж;65,2;нет;786;0;0;5;отсутствует;отсутствует;отсутствует;нормально;нормально
муж;25,8;нет;1166;1;0;3;отсутствует;хорошо;отсутствует;плохо;нормально
муж;20,3;нет;443;1;1;4;нормально;хорошо;плохо;хорошо;нормально
муж;43,8;нет;545;0;0;4;плохо;отсутствует;отсутствует;хорошо;нормально
жен;32,6;нет;298;1;0;3;плохо;нормально;отсутствует;плохо;нормально
муж;19,7;нет;290;0;1;2;отсутствует;отсутствует;хорошо;нормально;хорошо
муж;64,2;нет;1181;1;0;4;плохо;нормально;отсутствует;нормально;нормально
жен;64,4;нет;570;1;0;4;плохо;плохо;отсутствует;нормально;нормально
муж;26,4;да;871;0;1;3;нормально;отсутствует;нормально;нормально;нормально
жен;46,8;нет;126;1;1;4;плохо;плохо;хорошо;плохо;хорошо
муж;43,7;нет;1426;0;1;3;нормально;отсутствует;плохо;нормально;нормально
жен;61,2;да;1032;0;0;2;плохо;отсутствует;отсутствует;плохо;нормально
жен;40,6;да;1164;1;1;4;нормально;хорошо;плохо;нормально;нормально
муж;58,8;нет;983;0;0;3;плохо;отсутствует;отсутствует;нормально;нормально
жен;52,9;нет;488;1;1;2;хорошо;хорошо;плохо;нормально;нормально
жен;49,4;нет;3524;0;0;4;отсутствует;отсутствует;отсутствует;плохо;хорошо
муж;36,4;нет;292;1;0;3;нормально;нормально;отсутствует;плохо;нормально
муж;32,8;нет;365;0;1;4;хорошо;отсутствует;нормально;хорошо;нормально
муж;38,9;нет;3701;1;0;2;нормально;хорошо;отсутствует;нормально;нормально
муж;48,3;нет;1634;1;1;3;плохо;хорошо;хорошо;плохо;хорошо
жен;30,4;да;983;1;0;3;плохо;хорошо;отсутствует;плохо;нормально
муж;25,4;нет;626;1;1;3;плохо;нормально;нормально;нормально;нормально
жен;23,6;нет;1160;0;0;3;плохо;отсутствует;отсутствует;плохо;нормально
муж;48,6;нет;664;1;0;5;плохо;нормально;отсутствует;хорошо;нормально
муж;20,7;нет;1082;0;0;3;плохо;отсутствует;отсутствует;плохо;нормально
жен;28,4;нет;904;0;0;3;плохо;отсутствует;отсутствует;нормально;нормально
жен;45,4;да;647;1;1;4;нормально;нормально;плохо;хорошо;нормально
жен;56,6;да;505;1;0;3;плохо;плохо;отсутствует;хорошо;нормально
жен;59,3;нет;635;1;1;3;плохо;плохо;плохо;плохо;плохо
жен;42,3;нет;458;1;0;2;отсутствует;нормально;отсутствует;плохо;хорошо
жен;33,2;да;299;1;0;4;отсутствует;плохо;отсутствует;нормально;плохо
муж;57,2;нет;314;1;0;4;отсутствует;нормально;отсутствует;плохо;нормально
муж;62,6;да;402;0;0;4;плохо;отсутствует;отсутствует;плохо;хорошо
жен;31,3;нет;963;1;0;5;плохо;плохо;отсутствует;хорошо;плохо
жен;65,6;нет;668;1;1;4;нормально;нормально;плохо;нормально;нормально
жен;42,8;нет;407;0;1;3;нормально;отсутствует;плохо;нормально;нормально
жен;30,9;нет;1014;0;1;3;нормально;отсутствует;нормально;нормально;хорошо
муж;25,3;нет;1301;0;1;3;нормально;отсутствует;плохо;нормально;нормально
жен;65,7;нет;488;0;1;2;нормально;отсутствует;нормально;хорошо;нормально
муж;36,8;нет;278;0;0;4;плохо;отсутствует;отсутствует;плохо;нормально
муж;35,4;нет;292;0;0;3;плохо;отсутствует;отсутствует;плохо;нормально
жен;42,5;нет;625;0;1;3;нормально;отсутствует;плохо;плохо;нормально
муж;33,3;нет;1181;1;0;3;хорошо;плохо;отсутствует;хорошо;нормально
жен;18,8;нет;621;1;1;4;нормально;нормально;плохо;нормально;нормально
муж;66,5;да;547;1;1;4;нормально;нормально;нормально;нормально;нормально
муж;39,5;нет;733;0;1;4;нормально;отсутствует;плохо;нормально;нормально
жен;63,6;нет;631;0;0;4;плохо;отсутствует;отсутствует;хорошо;нормально
жен;67,6;да;626;0;1;5;нормально;отсутствует;нормально;плохо;хорошо
жен;36,6;нет;374;0;1;2;нормально;отсутствует;нормально;нормально;нормально
муж;69,8;нет;441;1;1;4;нормально;плохо;плохо;хорошо;нормально
жен;27,4;нет;1202;0;1;4;хорошо;отсутствует;хорошо;хорошо;хорошо
жен;36,5;нет;150;1;0;3;отсутствует;плохо;отсутствует;нормально;нормально
жен;51,7;нет;625;0;1;3;нормально;отсутствует;нормально;нормально;хорошо
муж;34,3;нет;925;1;1;3;хорошо;плохо;хорошо;нормально;хорошо
жен;25,8;нет;1236;1;0;3;плохо;плохо;отсутствует;нормально;нормально
жен;42,9;нет;211;0;1;4;нормально;отсутствует;хорошо;нормально;хорошо
жен;27,3;нет;1672;1;1;3;хорошо;плохо;хорошо;хорошо;хорошо
муж;44,9;нет;246;1;1;2;нормально;нормально;нормально;нормально;нормально
жен;34,9;нет;345;1;0;4;нормально;нормально;отсутствует;хорошо;нормально
муж;46,2;нет;938;1;0;3;плохо;плохо;отсутствует;хорошо;плохо
жен;63,8;да;3119;0;0;4;хорошо;отсутствует;отсутствует;нормально;нормально
жен;28,7;нет;1134;1;0;3;плохо;хорошо;отсутствует;плохо;нормально
муж;64,6;нет;423;1;1;4;нормально;нормально;плохо;нормально;нормально
муж;34,4;нет;264;0;1;5;нормально;отсутствует;нормально;хорошо;нормально
муж;28,8;нет;826;1;0;3;нормально;плохо;отсутствует;плохо;нормально
